date,mrr,arr,arpu,expansion_revenue,net_revenue_retention,gross_margin
2024-01-01,45000,540000,38,2000,105,75
2024-02-01,48000,576000,39,2500,106,76
2024-03-01,52000,624000,39,3000,107,76
2024-04-01,56000,672000,40,3500,108,77
2024-05-01,60000,720000,40,4000,109,77
2024-06-01,65000,780000,41,4500,110,78
2024-07-01,70000,840000,41,5000,111,78
2024-08-01,76000,912000,42,5500,112,79
2024-09-01,82000,984000,42,6000,113,79
2024-10-01,88000,1056000,43,6500,114,80
2024-11-01,95000,1140000,43,7000,115,80
2024-12-01,105000,1260000,44,8000,116,81
